name,3_grams_1,3_grams_2,3_grams_3
Kai Raphahn,"feat: Create framework

use","Create framework

use bytes

Issue","framework

use bytes

Issue #1"
Kai Raphahn,"feat: Create framework

add","Create framework

add command","framework

add command template

Issue"
Kai Raphahn,"feat: Create framework

prepare","Create framework

prepare device","framework

prepare device stuff

Issue"
Vikram Babu,copy edits,edits,
Gil Carvalho,Update style.scss,style.scss,
Melanie McGlynn,Automatically backed up,backed up by,up by Learn
Camilo Soto Montoya,Update README.md,README.md,
Sridhar Ratnakumar,Load blurb from,blurb from markdown,"from markdown (#5)

*"
The Tester,Add report,report,
jofsky,🐈 updating files,updating files for,files for working
jofsky,📦 updating files,updating files for,files for working
Kevin Wang,Color changes working,changes working,working
root,AC,,
365462129@qq.com,no message,message,
Tianon Gravi,Add TLS support,TLS support in,support in 6.0+
yosifkit,Merge pull request,pull request #218,request #218 from
MilkyVishra,2020-01-01 .01,.01,
Aishwarya Pawar,Delete iterationloop_heliximg.m,iterationloop_heliximg.m,
psandra1997,Update index.html,index.html,
Ricardo Morin,Method: priorities,priorities,
Ricardo Morin,Update priorities,priorities,
Ricardo Morin,Add to menu,to menu,menu
Ricardo Morin,Include svg file,svg file,file
Ricardo Morin,Update content,content,
Ricardo Morin,Version bump,bump,
Ricardo Morin,Add processed images,processed images,images
ghrip,Scheduled refresh,refresh,
benwubenwu,Add files via,files via upload,via upload
Dustin Spicuzza,Black formatting changes,formatting changes,changes
David Vo,Fix ntproperty with,ntproperty with non-default,with non-default instance
Stephen Warneford-Bygrave,Fixes for broken,for broken VIA,broken VIA download
macmule,Merge pull request,pull request #56,request #56 from
Darren Wallace,Update changed name,changed name and,name and updated
Darren Wallace,Merge branch 'master',branch 'master' of,'master' of https://github.com/autopkg/dataJAR-recipes
Richard Mallion,DrawBot Munki receipe,Munki receipe,receipe
Neil Martin,Create Labels and,Labels and Addresses.munki.recipe.html,and Addresses.munki.recipe.html
Neil Martin,Whoops - remove,- remove html,remove html extension
Neil Martin,Create VCV Rack.munki.recipe,VCV Rack.munki.recipe,Rack.munki.recipe
Neil Martin,Add Sony SxS,Sony SxS Driver,SxS Driver recipes
blensink192,Update Posts “top-10-albums-of-2010”,Posts “top-10-albums-of-2010”,“top-10-albums-of-2010”
Eniola Oyewole,"Added login capability

Added","login capability

Added the","capability

Added the option"
Yehonatan Hen,Merge pull request,pull request #13,request #13 from
Yehonatan Hen,Merge pull request,pull request #14,request #14 from
Guy Cohen,Merge pull request,pull request #15,request #15 from
Guy Cohen,fix minutes add,minutes add to,add to DB
Yehonatan Hen,Merge pull request,pull request #16,request #16 from
Yehonatan Hen,Delete unknown1.png,unknown1.png,
Yehonatan Hen,Merge pull request,pull request #17,request #17 from
Yehonatan Hen,Merge pull request,pull request #18,request #18 from
Yehonatan Hen,1/1 02:46,02:46,
Marcel Goldschen-Ohm,Update basic_intro.ipynb,basic_intro.ipynb,
Marcel Goldschen-Ohm,Create A Visual,A Visual Intro,Visual Intro to
Marcel Goldschen-Ohm,Create eeg.mat,eeg.mat,
Marcel Goldschen-Ohm,Create numpy.ipynb,numpy.ipynb,
Marcel Goldschen-Ohm,Create numpy_broadcasting.png,numpy_broadcasting.png,
Marcel Goldschen-Ohm,Create numpy_indexing.png,numpy_indexing.png,
Marcel Goldschen-Ohm,Merge branch 'master',branch 'master' of,'master' of https://github.com/marcel-goldschen-ohm/NEU337-Spring2020
dominicskinner,Update index.html,index.html,
Michael Szul,Update README.md,README.md,
unklebonehead,i am a,am a screw,a screw up
zqf,Created basic files,basic files for,files for grid
zqf,Implemented very basic,very basic drunken,basic drunken walk
zqf,Improving on drunken,on drunken walk,drunken walk implementation
zqf,Fixing Neighbour-rings counting,Neighbour-rings counting,counting
zqf,Drunken walk now,walk now takes,now takes its
zqf,Changed 'char' on,'char' on Cells,on Cells to
zqf,Tagging cells that,cells that are,that are the
zqf,Merge branch 'proc_gen',branch 'proc_gen' into,'proc_gen' into development
zqf,merge fix,fix,
randomjamart,new post,post,
Renovate Bot,Update dependency @types/mongoose,dependency @types/mongoose to,@types/mongoose to v5.5.37
GitHub,Deploy from Travis,from Travis build,Travis build 9319
James Gallagher,Edit to the,to the drmpp_module/tests/Makefile.am,the drmpp_module/tests/Makefile.am
DentonWarnock,fixes to context,to context consuming.,context consuming.
Mohamed Mohamed,Update Photo_Gallery.html,Photo_Gallery.html,
Igor Dvorkin,Updating weight ,weight  for, for end
Rommel Haynes,Automatically backed up,backed up by,up by Learn
Juliano Dorigão,"menubg

Signed-off-by: Juliano Dorigão",Juliano Dorigão <jdorigao@gmail.com>,Dorigão <jdorigao@gmail.com>
Kirill Shcherbina,Automatically backed up,backed up by,up by Learn
Aishwarya Pawar,Delete norm3d.m,norm3d.m,
Bernhard M. Wiedemann,Update 000release-packages to,000release-packages to rev,"to rev 377

https://build.opensuse.org/package/rdiff/openSUSE:Factory/000release-packages?linkrev=base&rev=377
by"
Bernhard M. Wiedemann,update 2020-01-01 00:30,2020-01-01 00:30,00:30
leo60228,fix version,version,
hhao1992,Create CNAME,CNAME,
Robert West,css class name,class name change:,name change: .p
Jeff Pooley,Upload new shortcut,new shortcut,shortcut
Michael Zuniga,Fixed errors for,errors for .NET,for .NET Framework
OPSTestProduction,Create a file,a file xref-prod/xrefmap_testbranch_master.yml,file xref-prod/xrefmap_testbranch_master.yml at
Xiangwei Cai,update,,
OPSTestProduction,Update file E2E_DocsBranch_Prod_Dynamic/index.md,file E2E_DocsBranch_Prod_Dynamic/index.md at,E2E_DocsBranch_Prod_Dynamic/index.md at 2020-01-01
Your Name,log_analytics retrieves information,retrieves information on,information on each
Your Name,now writes to,writes to csv,to csv
Your Name,"fixed bug, added","bug, added todo",added todo
Your Name,script now waits,now waits the,waits the required
Your Name,added additional documentation,additional documentation,documentation
Your Name,added docs,docs,
Your Name,updated gitignore,gitignore,
OPSTestProduction,modify article,article,
OPSTestProduction,e2e: build pdf,build pdf test,pdf test
Mazdak Farrokhzad,cleanup check_pat,check_pat,
Mazdak Farrokhzad,MatchExpressionArmPattern: Use more,Use more generic,"more generic wording.

The"
Mazdak Farrokhzad,Show scrutinee expr,scrutinee expr type,expr type for
Mazdak Farrokhzad,"MatchExpressionArmPattern -> Pattern

Current","-> Pattern

Current name","Pattern

Current name is"
Mazdak Farrokhzad,move demand_eqtype_pat* to,demand_eqtype_pat* to pat.rs,to pat.rs
Mazdak Farrokhzad,Pass the span,the span of,span of `<init>`
Mazdak Farrokhzad,refactor and fix,and fix this-expression-has-type,fix this-expression-has-type note
Mazdak Farrokhzad,check_fn: simplify,simplify,
Mazdak Farrokhzad,Blame user type,user type in,type in pat
Mazdak Farrokhzad,discriminant -> scrutinee,-> scrutinee,scrutinee
Charles Lew,Add symbol normalization,symbol normalization for,normalization for proc_macro_server.
Charles Lew,Inline and remove,and remove `nfc_symbol_from`,remove `nfc_symbol_from` method.
Mazdak Farrokhzad,parser: call .struct_span_err,call .struct_span_err directly,.struct_span_err directly
Mazdak Farrokhzad,de-fatalize some errors,some errors,errors
Mazdak Farrokhzad,parser: span_fatal ->,span_fatal -> struct_span_err,-> struct_span_err
Mazdak Farrokhzad,process_potential_macro_variable: de-fatalize an,de-fatalize an error,an error
Mazdak Farrokhzad,parser::attr: remove .fatal,remove .fatal calls,.fatal calls
Mazdak Farrokhzad,parser::item: remove .fatal,remove .fatal calls,.fatal calls
Mazdak Farrokhzad,parser::module: remove .fatal,remove .fatal calls,.fatal calls
Mazdak Farrokhzad,parser::path: remove .fatal,remove .fatal calls,.fatal calls
jacobatwork,updated log,log,
Zac Medico,sys-apps/nvme-cli: Remove old,"Remove old versions

Package-Manager:","old versions

Package-Manager: Portage-2.3.84,"
Zac Medico,"sys-apps/nvme-cli: CI HomepageInSrcUri

Package-Manager:","CI HomepageInSrcUri

Package-Manager: Portage-2.3.84,","HomepageInSrcUri

Package-Manager: Portage-2.3.84, Repoman-2.3.20
Signed-off-by:"
Leonardo Espinoza,cambio de nombre,de nombre a,nombre a estilos.css
Robin Bisho,removed an unneeded,an unneeded import,unneeded import
Robin Bisho,better type sig,type sig,sig
Robin Bisho,removed another unneeded,another unneeded import,unneeded import
Robin Bisho,refactored splitFileName and,splitFileName and added,and added Tests.hs
Robin Bisho,added a prop,a prop for,prop for fileInfo
Robin Bisho,de-lint,,
schwarze,When all cells,all cells in,cells in a
jsg,convert infinite msleep(9),infinite msleep(9) to,"msleep(9) to msleep_nsec(9)

ok"
jsg,drm: mst: Fix,mst: Fix query_payload,Fix query_payload ack
Colin,remove dependency on,dependency on aws,on aws dockerhub
Kai Hwang,job ads.,ads.,
Ming,Create LevelOrderTraversalDFS.java,LevelOrderTraversalDFS.java,
Kin Lane,Write File,File,
Aishwarya Pawar,Delete one,one,
aliefamzari,change >> to,>> to tee,to tee -a
johan gace, update the,update the book,the book challenge
Stepan Koltsov,Fix deprecation warning,deprecation warning,warning
Albert.CH.Shih,add entry point,entry point,point
Thomas Huybrechts,Update target broker,target broker IP,broker IP address
china0532,Update openwrt-ci.yml,openwrt-ci.yml,
simerplaha,SomeOrNone,,
simerplaha,FromValueOption,,
simerplaha,SomeOrNone fixes,fixes,
simerplaha,KeyValueOptional,,
simerplaha,Remove Options from,Options from SkipList,from SkipList
simerplaha,"generic PersistentParser, simplified","PersistentParser, simplified BaseEntryReader",simplified BaseEntryReader and
simerplaha,Persistent.Partial.Null,,
simerplaha,SliceOption,,
simerplaha,Renaming,,
simerplaha,SomeOrNoneCovariant,,
simerplaha,SliceOptionalSpec,,
simerplaha,SliceOptional types,types,
simerplaha,Removed PartialOptional as,PartialOptional as KeyValueOptional,as KeyValueOptional
simerplaha,remove FloorHintHigher,FloorHintHigher,
simerplaha,unsliceOptional,,
simerplaha,renaming to getUnsafe,to getUnsafe,getUnsafe
simerplaha,removed KeyValueTuple,KeyValueTuple,
simerplaha,nullable UnblockedReaders,UnblockedReaders,
simerplaha,removed toSlice from,toSlice from Level,from Level
simerplaha,remove Option and,Option and use,and use null
wingtorres,Delete test-image.JPG,test-image.JPG,
manuelespinosa,Update README.md,README.md,
wessilfie,rebuild pages,pages,
haipe,版本号资源,,
Jack Murphy,Add files via,files via upload,via upload
David Ladowitz,add colon,colon,
Unknown,improved structure data,structure data logic,data logic
blensink192,Update Posts “top-10-albums-of-2010”,Posts “top-10-albums-of-2010”,“top-10-albums-of-2010”
Ali Rizvi,Rename getAuthors to,"getAuthors to getDevelopers

Authors","to getDevelopers

Authors +"
Michael Wiinberg Olesen,Upgrade of ROP,of ROP,ROP
Michael W. Olesen,Merge pull request,pull request #10,request #10 from
Aishwarya Pawar,Delete tripleIterLoop.m,tripleIterLoop.m,
Jeremy David Giesbrecht,Refreshed.,,
Kailana Kahawaii,Automatically backed up,backed up by,up by Learn
khandgp1,First Iteration of,Iteration of the,of the Backend
Bot,update,,
gabesharpton,changed dev icon,dev icon,icon
Yaiyan,Add support for,support for angled,for angled labels
Brandon Craig,Finished Section 6,Section 6,6
geekwise-korey-nichols,bugfix: changed max,changed max length,max length for
geekwise-korey-nichols,update: changes to,changes to models,to models
geekwise-korey-nichols,update: changed serializers,changed serializers for,serializers for customer
geekwise-korey-nichols,removed pagination from,pagination from settings,from settings for
yfhuang,uploaded index.html,index.html,
Nathan Getty,shit wrong branch,wrong branch,branch
Renovate Bot,chore(deps): update dependency,update dependency com.google.apis:google-api-services-cloudiot,dependency com.google.apis:google-api-services-cloudiot to
jenkins-x-bot,Publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/environment-pr-120-102-gke-upgrade-staging/master/1.log
hww1996,"添加新的member change的方法 (#43)

*","change的方法 (#43)

* 修复使用旧conf的bug

*","(#43)

* 修复使用旧conf的bug

* bug"
hww1996,Merge branch 'master',branch 'master' into,'master' into hww1996
hww1996,修改外部接口,,
donaldsouza,message_2020-01-01T00:47:14,,
jekyllvn,Update index.html,index.html,
GitHub Action,Add data for,data for Wed,for Wed Jan
Kyle Bjordahl,fix: remove old,remove old import,old import
Ben Chuanlong Du,...,,
Aishwarya Pawar,Delete tripleIterLoopBody.m,tripleIterLoopBody.m,
SHRUTIKALOKHANDE,Print The Element,The Element Of,Element Of List
sthen,"update to s-nail-14.9.16,","to s-nail-14.9.16, from","s-nail-14.9.16, from maintainer"
sthen,fix LIB_DEPENDS for,LIB_DEPENDS for idna,"for idna flavour,"
sthen,minor update to,"update to py-icalendar-4.0.4,","to py-icalendar-4.0.4, move"
wruiz,Npm start listo,start listo,listo
RhXKGxbwQHmTREDU,66779455,,
Renovate Bot,chore(deps): update dependency,update dependency com.google.api-client:google-api-client,dependency com.google.api-client:google-api-client to
Renovate Bot,chore(deps): update dependency,update dependency com.google.apis:google-api-services-cloudresourcemanager,dependency com.google.apis:google-api-services-cloudresourcemanager to
Mohsan Khan,"Update README.md

Fix formatting","README.md

Fix formatting",formatting
Alejandro Damian Lozano,Update README.md,README.md,
“XurongChi”,capture ip,ip,
Antimeuh2433,fixed weird thing,weird thing in,thing in Main.cpp
sgoldenlab,Add files via,files via upload,via upload
e99999,mostly recipe stuff,recipe stuff for,stuff for ic2c
e99999,moved pipes into,pipes into seperate,into seperate branch
e99999,added 2 more,2 more tiers,more tiers of
e99999,Im back from,back from holiday,from holiday losers
e99999,messing with layered,with layered block,layered block textures
e99999,got layered block,layered block models,block models working
e99999,bedrock ores and,ores and bedrock,and bedrock miner
e99999,redid ores to,ores to be,to be deditcated
purerosefallen,move,,
Mohsin Niazi,update to new,to new assignment,new assignment structure
Mohsin Niazi,update to new,to new structure,new structure
SockPuppetry,Travis CI build,CI build 187068,build 187068
Riley Shaw,Updates,,
zhagyilig,[Add] 对象应用、可变性和垃圾回收.,对象应用、可变性和垃圾回收.,
Gary Mann,nuget config file,config file,file
wfz8023,add gitignore,gitignore,
Matheus Ferraz,Update challenge-05.js,challenge-05.js,
Volodymyr Shcherbyna,Release Igel 2.2.1,Igel 2.2.1 (#136),"2.2.1 (#136) (#137)

tc=40/102
hash=256
Rank"
Renovate Bot,chore(deps): update dependency,update dependency com.google.api-client:google-api-client,dependency com.google.api-client:google-api-client to
Renovate Bot,chore(deps): update dependency,update dependency com.google.apis:google-api-services-jobs,dependency com.google.apis:google-api-services-jobs to
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:47:22
binishmaharjan,deleting rxGesture,rxGesture,
Binish Maharjan,Merge pull request,pull request #32,request #32 from
ardnew,initial port of,port of C,of C to
confusdcodr,Rename packages in,packages in travis,in travis to
Gregory O,Merge pull request,pull request #3,request #3 from
Loren Gordon,Adds encrypted deploy,encrypted deploy key,deploy key for
Gregory O,Merge pull request,pull request #4,request #4 from
confusdcodr,Bumps version to,version to 0.0.1,to 0.0.1
Gregory O,Merge pull request,pull request #5,request #5 from
confusdcodr,Upgrade to terraform,to terraform 0.12.x,terraform 0.12.x
confusdcodr,Bumps version to,version to 1.0.0,to 1.0.0
Gregory O,Merge pull request,pull request #6,request #6 from
confusdcodr,"Add dependabot configurations,","dependabot configurations, fix","configurations, fix Makefile,"
confusdcodr,Bumps version to,version to 1.0.1,to 1.0.1
Gregory O,Merge pull request,pull request #8,request #8 from
dependabot-preview[bot],Bump github.com/gruntwork-io/terratest from,github.com/gruntwork-io/terratest from 0.19.0,from 0.19.0 to
Gregory O,Merge pull request,pull request #11,request #11 from
dependabot-preview[bot],Bump github.com/gruntwork-io/terratest from,github.com/gruntwork-io/terratest from 0.19.1,from 0.19.1 to
